absinthe green	#8A9A5B
light chicory blue	#8C82B6
light cinnamon-drab	#977F73
light columbia blue	#70A3CC
light congo pink	#F4C2C2
light coral red	#CB6D51
light corinthian red	#C08081
light cress green	#8A9A5B
light danube green	#3B7861
light drab	#AE9B82
light dull bluish violet	#8C82B6
light dull glaucous-blue	#66AABC
light dull green-yellow	#C9DC89
light elm green	#8A9A5B
light fluorite green	#C9DC89
light forget-me-not blue  	#70A3CC
light glaucous-blue	#9CD1DC
light grape green	#8A9A5B
light grayish blue-violet	#70A3CC
light grayish olive	#8C8767
light grayish vinaceous	#C7ADA3
light grayish violet-blue	#6C79B8
light greenish yellow	#E9E450
light green-yellow	#EAE679
light gull gray	#B9B8B5
light heliotrope gray	#AA98A9
light hellebore green	#8A9A5B
light hortense violet	#D399E6
light hyssop violet	#8C82B6
light jasper red	#E4717A
light king's blue	#BCD4E6
light lavender-blue	#8791BF
light lavender-violet	#8C82B6
light lobelia violet	#B695C0
light lumiere green	#C9DC89
light mallow purple	#DE6FA1
light mauve	#8C82B6
light medici blue	#536878
light methyl blue 	#4997D0
light mineral gray 	#B2BEB5
light mouse gray 	#8E8279
light neropalin blue	#91A3B0
light neutral gray	#848482
light niagara green	#66ADA4
light ochraceous-buff	#E3A857
light ochraceous-salmon	#FAD6A5
light olive-gray	#BFB8A5
light orange-yellow	#E3A857
light oriental green	#93C592
light paris green	#93C592
light payne's gray	#91A3B0
light perilla purple	#915C83
light phlox purple	#DE6FA1
light pinkish cinnamon	#F4C2C2
light pinkish lilac	#EFBBCC
light plumbago gray	#8B8589
light porcelain green	#66ADA4
light purple-drab	#796878
light purplish gray	#8B8589
light purplish vinaceous	#DEA5A4
light quaker drab 	#8B8589
light rosolane purple	#DE6FA1
light russet-vinaceous	#A87C6D
light salmon-orange	#D99058
light seal brown	#5C504F
light sky blue	#91A3B0
light soft blue-violet	#6C79B8
light squill blue	#70A3CC
light sulphate green	#66ADA4
light terre verte	#317873
light turtle green	#C9DC89
light tyrian blue	#536878
light varley's gray	#AA98A9
light vinaceous-cinnamon	#FAD6A5
light vinaceous-drab	#905D5D
light vinaceous-fawn	#C7ADA3
light vinaceous-gray	#AA98A9
light vinaceous-lilac	#B784A7
light vinaceous-purple	#836479
light violet	#6C79B8
light violet-blue	#545AA7
light violet-gray	#8B8589
light violet-plumbeous  	#91A3B0
light viridine green	#C9DC89
light viridine yellow	#EAE679
light windsor blue	#8791BF
light wistaria blue  	#8791BF
light wistaria violet	#8C82B6
light yellow-green	#BDDA57
light yellowish olive	#98943E
lilac	#B695C0
lilac gray	#BFB9BD
lily green	#7D8984
lime green	#B9B459
lincoln green	#515744
liseran purple	#9E4F88
litho purple	#875692
liver brown	#79443B
livid brown	#905D5D
livid pink	#F9CCCA
livid purple	#915C83
livid violet	#86608E
lobelia violet	#B695C0
lumiere blue	#66ADA4
lumiere green	#C9DC89
lyons blue	#0067A5
madder blue	#9690AB
madder brown	#905D5D
madder violet	#563C5C
magenta	#9E4F88
mahogany red	#79443B
maize yellow	#F8DE7E
malachite green	#93C592
mallow pink	#E68FAC
mallow purple	#870074
manganese violet	#875692
marguerite yellow	#F3E5AB
marine blue	#436B95
maroon	#3E1D1E
mars brown	#6F4E37
mars orange	#CB6D51
mars violet	#50404D
mars yellow	#C98500
martius yellow	#EAE679
massicot yellow	#F8DE7E
mathew's blue	#0067A5
mathew's purple	#875692
mauve	#7E73B8
mauvette	#EFBBCC
mazarine blue	#4997D0
meadow green	#679267
medal bronze	#6C541E
medici blue	#81878B
methyl blue 	#00A1C2
methyl green 	#007A74
microcline green 	#96DED1
mignonette green 	#867E36
mikado brown 	#A67B5B
mikado orange 	#ED872D
mineral gray 	#8F9779
mineral green 	#7E9F2E
mineral red 	#905D5D
montpellier green 	#6AAB8E
morocco red 	#79443B
motmot blue 	#367588
motmot green 	#44944A
mouse gray 	#8E8279
mulberry purple 	#602F6B
mummy brown 	#4B3621
munich lake 	#BE0032
mustard yellow 	#D4AF37
myrtle green 	#004B49
mytho green 	#8A9A5B
naphthalene violet 	#5D3954
naphthalene yellow 	#EAE679
naples yellow 	#F8DE7E
natal brown	#635147
navy blue	#4E5180
neropalin blue	#70A3CC
neutral gray	#848482
neutral red	#673147
neuvider green	#93C592
neva green	#BDDA57
niagara green	#8DA399
nickel green	#3B7861
night green	#8DB600
nigrosin blue	#4C516D
nigrosin violet 	#563C5C
nile blue	#66ADA4
nopal red	#BC3F4A
ocher red	#905D5D
ochraceous-buff	#F4C2C2
ochraceous-orange	#EAA221
ochraceous-salmon	#D99058
ochraceous-tawny	#BE8A3D
oil green	#8A9A5B
old burgundy	#2E1D21
old gold	#AB9144
old rose	#AB4E52
olive	#665D1E
olive-brown 	#7E6D5A
olive-buff	#F3E5AB
olive-citrine	#665D1E
olive-gray  	#8C8767
olive green	#665D1E
olive lake	#A18F60
olive-ocher	#C9AE5D
olive-yellow  	#B9B459
olivine	#93C592
olympic blue	#0067A5
onion-skin pink	#D9A6A9
ontario violet	#8C82B6
opaline green	#C9DC89
orange	#ED872D
orange-buff  	#E3A857
orange chrome	#F38400
orange-cinnamon	#D99058
orange-citrine	#967117
orange-pink	#FD943F
orange-rufous  	#BE6516
orange-vinaceous 	#E4717A
oriental green	#679267
orient blue	#436B95
orient pink	#F88379
oural green	#B6E5AF
ox-blood red  	#841B2D
oxide blue	#0067A5
pale amaranth pink	#E68FAC
pale amparo blue	#BCD4E6
pale amparo purple	#B695C0
pale aniline lilac	#A1CAF1
pale blue	#9CD1DC
pale blue-green	#C7E6D7
pale blue-violet	#6C79B8
pale bluish lavender  	#C4C3DD
pale bluish violet	#6C79B8
pale brownish drab	#C1B6B3
pale brownish vinaceous	#EAD8D7
pale cadet blue	#70A3CC
pale campanula blue	#B3BCE2
pale cendre green	#C9DC89
pale cerulean blue	#A1CAF1
pale chalcedony yellow	#EBE8A4
pale cinnamon-pink	#F4C2C2
pale congo pink	#F4C2C2
pale drab-gray	#F2F3F4
pale dull glaucous-blue	#BCD4E6
pale dull green-yellow	#C9DC89
pale ecru-drab	#C1B6B3
pale flesh color	#F4C2C2
pale fluorite green	#C7E6D7
pale glass green	#C9DC89
pale glaucous-blue	#9CD1DC
pale glaucous-green  	#C7E6D7
pale grayish blue	#BCD4E6
pale grayish blue-violet	#C0C8E1
pale grayish vinaceous	#C1B6B3
pale grayish violet-blue	#8791BF
pale green-blue gray	#91A3B0
pale greenish yellow	#EAE679
pale green-yellow	#EAE679
pale gull gray	#B9B8B5
pale hortense violet	#D5BADB
pale king's blue	#C4C3DD
pale laelia pink  	#EFBBCC
pale lavender-violet	#B695C0
pale lemon yellow	#E9E450
pale lilac	#E8CCD7
pale lobelia violet	#D6CADD
pale lumiere green	#C9DC89
pale mauve	#D6CADD
pale mazarine blue	#BCD4E6
pale medici blue	#91A3B0
pale methyl blue 	#70A3CC
pale mouse gray 	#8E8279
pale neropalin blue	#BCD4E6
pale neutral gray	#848482
pale niagara green	#C7E6D7
pale nile blue	#96DED1
pale ochraceous-buff	#F4C2C2
pale ochraceous-salmon	#FAD6A5
pale olive-buff	#F3E5AB
pale olive-gray	#F0EAD6
pale olivine	#C7E6D7
pale orange-yellow	#FBC97F
pale payne's gray	#91A3B0
pale persian lilac	#D597AE
pale pinkish buff	#FAD6A5
pale pinkish cinnamon	#FAD6A5
pale purple-drab	#C3A6B1
pale purplish gray	#8B8589
pale purplish vinaceous	#F9CCCA
pale quaker drab	#BFB9BD
pale rhodonite pink	#EFBBCC
pale rose-purple  	#B695C0
pale rosolane purple	#DE6FA1
pale russian blue	#BCD4E6
pale salmon color	#FAD6A5
pale smoke gray	#BFB8A5
pale soft blue-violet	#8791BF
pale sulphate green	#66ADA4
pale tiber green	#C9DC89
pale turquoise green	#96DED1
pale turtle green	#C9DC89
pale varley's gray 	#9690AB
pale verbena violet	#DCD0FF
pale veronese green	#C9DC89
pale vinaceous	#DEA5A4
pale vinaceous-drab	#C4AEAD
pale vinaceous-fawn	#C1B6B3
pale vinaceous-lilac	#EFBBCC
pale vinaceous-pink	#ECD5C5
pale violet	#8791BF
pale violet-blue	#4997D0
pale violet-gray	#8B8589
pale violet-plumbeous  	#91A3B0
pale viridine yellow	#EAE679
pale windsor blue	#70A3CC
pale wistaria blue	#DCD0FF
pale wistaria violet	#8C82B6
pale yellow-green	#C9DC89
pale yellow-orange	#F4C2C2
pallid blue-violet	#B3BCE2
pallid bluish violet	#B3BCE2
pallid brownish drab	#C1B6B3
pallid grayish violet-blue	#8791BF
pallid methyl blue 	#A1CAF1
pallid mouse gray 	#C1B6B3
pallid neutral gray	#B9B8B5
pallid purple-drab	#BFB9BD
pallid purplish gray  	#BFB9BD
pallid quaker drab	#BFB9BD
pallid soft blue-violet 	#B3BCE2
pallid vinaceous-drab	#BFB9BD
pallid violet	#B3BCE2
pallid violet-blue	#B3BCE2
pansy purple	#673147
pansy violet	#875692
paris blue	#0067A5
paris green	#93C592
parrot green	#8A9A5B
parula blue	#91A3B0
patent blue	#004958
payne's gray	#536878
peach red	#CB6D51
peacock blue	#007791
peacock green	#8A9A5B
pea green	#7D8984
pearl blue	#C0C8E1
pearl gray	#B9B8B5
pecan brown	#A67B5B
perilla purple	#673147
persian blue	#BCD4E6
persian lilac	#C17E91
petunia violet	#602F6B
phenyl blue	#30267A
phlox pink	#B695C0
phlox purple	#9E4F88
picric yellow	#E9E450
pinard yellow	#FADA5E
pinkish buff	#F4C2C2
pinkish cinnamon	#E3A857
pinkish vinaceous	#D9A6A9
pistachio green	#679267
pleroma violet	#7E73B8
plumbago blue	#9690AB
plumbago gray	#8B8589
plumbeous	#91A3B0
plumbeous black  	#36454F
plum purple	#2F2140
pois green	#8F9779
pompeian red	#AB4E52
porcelain blue	#66AABC
porcelain green	#317873
primrose yellow	#EAE679
primuline yellow	#D4AF37
prout's brown	#6F4E37
prune purple	#563C5C
prussian blue	#0067A5
prussian green	#004B49
prussian red	#905D5D
puritan gray	#81878B
purple	#870074
purple-drab	#796878
purplish gray	#796878
purplish lilac	#B784A7
purplish vinaceous	#AD8884
pyrite yellow	#98943E
quaker drab	#8B8589
rainette green	#8A9A5B
raisin black	#50404D
raisin purple	#5D3954
ramier blue	#9690AB
raw sienna	#BE8A3D
reed yellow	#B9B459
rejane green	#93C592
rhodamine purple	#CE4676
rhodonite pink	#C17E91
rinnemann's green	#8A9A5B
rivage green	#C9DC89
rocellin purple	#DE6FA1
roman green	#665D1E
rood's blue	#00A1C2
rood's brown	#977F73
rood's lavender	#AA98A9
rood's violet	#702963
rose color	#DE6FA1
rose doree  	#E66761
rose pink	#EFBBCC
rose-purple 	#D399E6
rose red	#BE0032
roslyn blue	#272458
rosolane pink	#FFC8D6
rosolane purple	#B3446C
royal purple	#604E81
rufous	#CB6D51
russet	#6F4E37
russet-vinaceous	#905D5D
russian blue	#BCD4E6
russian green	#5E716A
saccardo's olive	#967117
saccardo's slate	#51585E
saccardo's umber	#7E6D5A
saccardo's violet	#875692
safrano pink	#F88379
sage green	#8DA399
sailor blue	#545AA7
salmon-buff  	#E3A857
salmon color	#D9A6A9
salmon-orange	#ED872D
salvia blue	#30267A
sanford's brown	#AE6938
sanford's brown	#80461B
sayal brown	#996515
scarlet	#D9603B
scarlet-red 	#BE0032
scheele's green	#7E9F2E
schoenfeld's purple	#78184A
sea-foam green  	#EBE8A4
sea-foam yellow  	#EAE679
sea green	#317873
seal brown	#5C504F
seashell pink	#ECD5C5
sepia	#483C32
serpentine green	#867E36
shamrock green	#679267
shell pink	#ECD5C5
shrimp pink	#F4C2C2
skobeloff green	#007A74
sky blue	#70A3CC
sky gray	#BCD4E6
slate-black	#222222
slate-blue 	#4C516D
slate color	#555555
slate-gray	#555555
slate-olive	#7D8984
slate-purple	#796878
slate-violet   	#50404D
slate-violet   	#796878
smalt blue	#30267A
smoke gray	#C2B280
snuff brown	#826644
soft blue-violet	#7E73B8
soft bluish violet	#604E97
sooty black	#555555
sorghum brown	#674C47
sorrento green	#317873
spectrum blue	#00A1C2
spectrum red	#BE0032
spectrum violet	#604E97
spinach green	#8A9A5B
spinel pink	#B3446C
spinel red	#B3446C
squill blue	#70A3CC
stone green	#679267
storm gray	#7D8984
strawberry pink	#CB6D51
straw yellow	#F8DE7E
strontian yellow  	#BEB72E
sudan brown	#80461B
sulphate green	#66ADA4
sulphine yellow	#AB9144
sulphur yellow	#EAE679
taupe brown	#50404D
tawny	#AE6938
tawny-olive	#826644
tea green	#8F9779
terra cotta	#B4745E
terre verte	#5E716A
testaceous	#B4745E
thulite pink	#E68FAC
tiber green	#93C592
tilleul-buff	#ECD5C5
tourmaline pink	#9E4F88
turquoise green	#66ADA4
turtle green	#8A9A5B
tyrian blue	#536878
tyrian pink	#9E4F88
tyrian rose	#CE4676
tyrolite green	#66ADA4
ultramarine ash	#0067A5
ultramarine blue	#00A1C2
urania blue	#2F2140
vanderpoel's blue	#0067A5
vanderpoel's green	#BDDA57
vanderpoel's violet	#8C82B6
vandyke brown	#6F4E37
vandyke red	#905D5D
variscite green	#8ED1B2
varley's gray	#796878
varley's green	#355E3B
venetian blue	#0067A5
venetian pink	#F88379
venice green	#00A693
verbena violet	#9690AB
verdigris green	#6AAB8E
vernonia purple	#915F6D
verona brown	#6F4E37
veronese green	#C9DC89
vetiver green	#8A9A5B
victoria lake	#722F37
vinaceous	#EA9399
vinaceous-brown	#905D5D
vinaceous-buff	#F4C2C2
vinaceous-cinnamon	#D9A6A9
vinaceous-drab	#905D5D
vinaceous-fawn	#D9A6A9
vinaceous-gray	#AA98A9
vinaceous-lavender	#DEA5A4
vinaceous-lilac	#C17E91
vinaceous-pink	#B4745E
vinaceous-purple   	#A8516E
vinaceous-purple   	#836479
vinaceous-rufous	#9E4732
vinaceous-russet	#A87C6D
vinaceous-slate	#796878
vinaceous-tawny	#B4745E
violet carmine  	#673147
violet-gray	#8B8589
violet-plumbeous	#8C92AC
violet-purple  	#9A4EAE
violet-slate	#536878
violet ultramarine	#545AA7
viridian green	#3EB489
viridine green	#BDDA57
viridine yellow	#BEB72E
vivid green	#3EB489
wall green	#317873
walnut brown	#79443B
warbler green	#867E36
warm blackish brown  	#543D3F
warm buff  	#E3A857
warm sepia  	#635147
water green	#DADFB7
wax yellow	#D4AF37
wedgewood blue	#A1CAF1
white	#F2F3F4
windsor blue	#4E5180
winter green	#679267
wistaria blue	#6C79B8
wistaria violet	#7E73B8
wood brown	#C19A6B
xanthine orange	#BE6516
yale blue	#70A3CC
yellow green	#BDDA57
yellowish citrine	#98943E
yellowish glaucous	#DADFB7
yellowish oil green	#867E36
yellowish olive	#867E36
yellow ochre	#BE8A3D
yew green	#4A5D23
yvette violet	#554C69
zinc green	#3B7861
zinc orange	#ED872D
